session_id,user_id,session_date,source,device,page_views,session_duration
99,185,2025-09-13,Referral,Mobile,1,437
100,253,2025-09-13,Organic,Mobile,3,424
101,653,2025-09-13,Social,Desktop,6,94
102,535,2025-09-13,Social,Mobile,15,236
103,1972,2025-09-13,Organic,Mobile,12,203
104,76,2025-09-13,Organic,Desktop,4,546
105,1176,2025-09-13,Paid,Desktop,2,244
106,1944,2025-09-13,Referral,Desktop,10,156
107,929,2025-09-13,Social,Mobile,3,614
108,547,2025-09-13,Social,Desktop,5,272
109,1549,2025-09-13,Social,Desktop,6,478
110,1124,2025-09-13,Paid,Desktop,15,526
111,809,2025-09-13,Social,Mobile,2,755
112,584,2025-09-13,Organic,Mobile,8,137
113,1414,2025-09-13,Organic,Desktop,11,570
114,1452,2025-09-13,Organic,Desktop,14,161
115,1226,2025-09-13,Organic,Desktop,2,788
116,460,2025-09-13,Organic,Desktop,14,396
117,50,2025-09-13,Paid,Mobile,10,230
118,1550,2025-09-13,Social,Desktop,13,883
119,694,2025-09-13,Organic,Desktop,8,781
120,236,2025-09-13,Paid,Desktop,14,588
121,857,2025-09-13,Organic,Desktop,2,79
122,410,2025-09-13,Referral,Desktop,4,298
123,1667,2025-09-13,Paid,Mobile,14,769
124,982,2025-09-13,Organic,Desktop,6,638
125,490,2025-09-13,Paid,Desktop,3,353
126,1041,2025-09-13,Paid,Desktop,3,729
127,1934,2025-09-13,Organic,Tablet,1,335
128,1288,2025-09-13,Organic,Desktop,2,425
129,1882,2025-09-13,Referral,Desktop,8,757
130,1409,2025-09-13,Social,Desktop,4,101
131,1186,2025-09-13,Social,Desktop,13,608
132,1896,2025-09-13,Organic,Desktop,9,156
133,444,2025-09-13,Paid,Desktop,5,705
134,1031,2025-09-13,Paid,Desktop,11,123
135,403,2025-09-13,Organic,Mobile,10,137
136,236,2025-09-13,Social,Mobile,1,485
137,595,2025-09-13,Social,Desktop,6,626
138,60,2025-09-13,Paid,Desktop,12,251
139,1553,2025-09-13,Organic,Desktop,14,61
140,1289,2025-09-13,Referral,Desktop,13,794
141,1241,2025-09-13,Referral,Mobile,1,198
142,142,2025-09-13,Paid,Mobile,3,220
143,994,2025-09-13,Organic,Desktop,3,30
144,679,2025-09-13,Organic,Desktop,13,864
145,604,2025-09-13,Paid,Mobile,13,763
146,1870,2025-09-13,Social,Mobile,8,353
147,68,2025-09-13,Paid,Mobile,6,514
148,616,2025-09-13,Paid,Mobile,4,632
149,158,2025-09-13,Paid,Tablet,13,193
150,829,2025-09-13,Organic,Desktop,1,297
151,910,2025-09-13,Organic,Desktop,3,583
152,1173,2025-09-13,Organic,Desktop,2,726
153,347,2025-09-13,Social,Desktop,15,75
154,1749,2025-09-13,Paid,Desktop,7,531
155,504,2025-09-13,Organic,Mobile,4,666
156,647,2025-09-13,Organic,Tablet,14,352
157,1904,2025-09-13,Referral,Mobile,8,453
158,1935,2025-09-13,Organic,Mobile,2,251
159,1649,2025-09-13,Organic,Desktop,2,664
160,1681,2025-09-13,Organic,Desktop,13,860
161,1138,2025-09-13,Referral,Mobile,14,813
162,1726,2025-09-13,Social,Mobile,15,586
163,1542,2025-09-13,Paid,Desktop,12,307
164,1694,2025-09-13,Organic,Tablet,8,362
165,1320,2025-09-13,Organic,Mobile,3,178
166,1771,2025-09-13,Paid,Desktop,6,773
167,1425,2025-09-13,Paid,Desktop,14,600
168,1715,2025-09-13,Social,Desktop,14,402
169,1831,2025-09-13,Organic,Desktop,1,342
170,688,2025-09-13,Paid,Mobile,8,185
171,1305,2025-09-13,Paid,Desktop,3,865
172,158,2025-09-13,Organic,Mobile,1,144
173,1520,2025-09-13,Organic,Tablet,10,561
174,1406,2025-09-13,Referral,Desktop,14,413
175,137,2025-09-13,Organic,Desktop,7,411
176,1367,2025-09-13,Social,Desktop,1,746
177,551,2025-09-13,Social,Desktop,12,389
178,930,2025-09-13,Organic,Mobile,5,176
179,1092,2025-09-13,Social,Mobile,13,813
180,1538,2025-09-13,Social,Tablet,13,285
181,1529,2025-09-13,Referral,Mobile,10,335
182,1120,2025-09-13,Organic,Mobile,13,690
183,651,2025-09-13,Organic,Desktop,6,367
184,351,2025-09-13,Social,Desktop,6,321
185,1209,2025-09-13,Paid,Desktop,10,57
186,577,2025-09-13,Organic,Desktop,1,558
187,593,2025-09-13,Organic,Desktop,4,433
188,1360,2025-09-13,Organic,Desktop,5,200
189,938,2025-09-13,Organic,Tablet,8,823
190,350,2025-09-13,Paid,Desktop,1,270
191,97,2025-09-13,Organic,Tablet,6,753
192,1352,2025-09-13,Paid,Mobile,5,554
193,1413,2025-09-13,Referral,Mobile,7,218
194,1679,2025-09-13,Paid,Mobile,12,379
195,1798,2025-09-13,Organic,Desktop,1,185
196,512,2025-09-13,Paid,Mobile,5,740
197,1627,2025-09-13,Organic,Mobile,9,805
198,1914,2025-09-13,Organic,Mobile,2,167
199,1986,2025-09-13,Organic,Desktop,3,517
200,662,2025-09-13,Social,Mobile,15,746
201,650,2025-09-13,Organic,Mobile,13,614
202,1181,2025-09-13,Organic,Desktop,8,345
203,1393,2025-09-13,Paid,Mobile,5,548
204,457,2025-09-13,Paid,Desktop,12,109
205,770,2025-09-13,Organic,Mobile,13,241
206,1299,2025-09-13,Paid,Tablet,7,177
207,1801,2025-09-13,Referral,Desktop,3,182
208,1036,2025-09-13,Organic,Mobile,5,269
209,1182,2025-09-13,Referral,Tablet,2,548
210,61,2025-09-13,Organic,Desktop,7,317
211,166,2025-09-13,Organic,Mobile,13,667
212,1857,2025-09-13,Paid,Mobile,12,761
213,1347,2025-09-13,Social,Mobile,11,634
214,1977,2025-09-13,Social,Desktop,5,635
215,1999,2025-09-13,Social,Mobile,2,581
216,1600,2025-09-13,Organic,Desktop,4,179
217,1950,2025-09-13,Social,Tablet,15,447
218,1449,2025-09-13,Organic,Mobile,11,767
219,355,2025-09-13,Social,Desktop,14,503
220,738,2025-09-13,Referral,Desktop,1,74
221,751,2025-09-13,Social,Mobile,13,270
222,780,2025-09-13,Organic,Desktop,13,158
223,90,2025-09-13,Organic,Desktop,11,551
224,1514,2025-09-13,Organic,Desktop,4,462
225,121,2025-09-13,Paid,Desktop,6,671
226,758,2025-09-13,Paid,Mobile,4,534
227,1893,2025-09-13,Paid,Mobile,8,196
228,850,2025-09-13,Paid,Desktop,3,149
229,1671,2025-09-13,Social,Mobile,12,264
230,1158,2025-09-13,Organic,Desktop,9,474
231,815,2025-09-13,Organic,Mobile,4,885
232,1209,2025-09-13,Social,Desktop,6,302
233,1634,2025-09-13,Referral,Mobile,15,243
234,951,2025-09-13,Referral,Mobile,15,68
235,988,2025-09-13,Organic,Mobile,5,726
236,1171,2025-09-13,Paid,Mobile,9,199
237,27,2025-09-13,Referral,Desktop,5,120
238,1820,2025-09-13,Organic,Desktop,7,364
239,842,2025-09-13,Organic,Desktop,9,453
240,768,2025-09-13,Social,Mobile,6,553
241,261,2025-09-13,Paid,Desktop,9,187
242,382,2025-09-13,Organic,Mobile,13,434
243,345,2025-09-13,Organic,Tablet,12,215
244,251,2025-09-13,Organic,Desktop,9,615
245,644,2025-09-13,Social,Mobile,12,491
246,748,2025-09-13,Social,Mobile,9,869
247,484,2025-09-13,Organic,Tablet,12,255
248,104,2025-09-13,Social,Mobile,2,509
249,1443,2025-09-13,Paid,Mobile,2,647
250,1844,2025-09-13,Paid,Desktop,10,368
251,1214,2025-09-13,Organic,Mobile,15,39
252,739,2025-09-13,Paid,Mobile,7,504
253,1315,2025-09-13,Organic,Desktop,2,780
254,1480,2025-09-13,Organic,Tablet,5,875
255,107,2025-09-13,Paid,Tablet,13,356
256,440,2025-09-13,Paid,Desktop,3,129
257,462,2025-09-13,Paid,Mobile,12,839
258,1684,2025-09-13,Referral,Desktop,6,47
259,106,2025-09-13,Paid,Desktop,13,871
260,177,2025-09-13,Social,Desktop,7,542
261,170,2025-09-13,Paid,Desktop,13,255
262,1585,2025-09-13,Paid,Mobile,8,319
263,811,2025-09-13,Paid,Desktop,6,50
264,662,2025-09-13,Paid,Desktop,8,474
265,1149,2025-09-13,Paid,Mobile,10,881
266,342,2025-09-13,Organic,Desktop,2,772
267,197,2025-09-13,Social,Desktop,4,372
268,1281,2025-09-13,Referral,Mobile,13,538
269,436,2025-09-13,Social,Desktop,5,456
270,700,2025-09-13,Organic,Desktop,10,267
271,11,2025-09-13,Social,Desktop,4,868
272,99,2025-09-13,Organic,Mobile,10,342
273,1620,2025-09-13,Paid,Desktop,2,310
274,1334,2025-09-13,Organic,Desktop,12,86
275,715,2025-09-13,Paid,Desktop,15,239
276,1141,2025-09-13,Organic,Mobile,8,367
277,1621,2025-09-13,Organic,Mobile,15,45
278,1393,2025-09-13,Referral,Desktop,12,721
279,1296,2025-09-13,Paid,Desktop,4,112
280,1485,2025-09-13,Organic,Mobile,12,248
281,1751,2025-09-13,Paid,Mobile,2,231
282,1434,2025-09-13,Paid,Desktop,2,739
283,614,2025-09-13,Organic,Mobile,14,364
284,1429,2025-09-13,Paid,Desktop,2,773
285,1013,2025-09-13,Social,Desktop,5,888
286,799,2025-09-13,Paid,Mobile,14,357
287,1806,2025-09-13,Paid,Mobile,4,834
288,368,2025-09-13,Organic,Desktop,4,453
289,825,2025-09-13,Organic,Desktop,12,92
290,473,2025-09-13,Organic,Desktop,7,725
291,1265,2025-09-13,Organic,Tablet,11,42
292,1662,2025-09-13,Social,Mobile,7,290
293,1235,2025-09-13,Organic,Tablet,3,395
294,317,2025-09-13,Social,Desktop,8,318
295,1972,2025-09-13,Paid,Mobile,4,808
296,1033,2025-09-13,Organic,Mobile,3,98
297,82,2025-09-13,Paid,Desktop,13,635
298,260,2025-09-13,Paid,Mobile,10,274
299,74,2025-09-13,Organic,Desktop,11,607
300,49,2025-09-13,Social,Mobile,14,570
301,1475,2025-09-13,Paid,Desktop,4,830
302,44,2025-09-13,Paid,Desktop,10,177
303,365,2025-09-13,Organic,Tablet,15,194
304,1850,2025-09-13,Paid,Mobile,7,256
305,288,2025-09-13,Organic,Mobile,5,30
306,718,2025-09-13,Paid,Mobile,10,756
307,558,2025-09-13,Paid,Tablet,8,300
308,869,2025-09-13,Organic,Desktop,1,39
309,985,2025-09-13,Referral,Mobile,10,338
310,1720,2025-09-13,Paid,Desktop,4,184
311,59,2025-09-13,Paid,Mobile,10,162
312,1,2025-09-13,Organic,Desktop,6,36
313,939,2025-09-13,Paid,Mobile,15,354
314,1225,2025-09-13,Paid,Tablet,7,232
315,1795,2025-09-13,Referral,Desktop,11,224
316,988,2025-09-13,Paid,Desktop,7,281
317,1682,2025-09-13,Social,Desktop,10,832
318,1426,2025-09-13,Paid,Desktop,13,694
319,218,2025-09-13,Social,Desktop,15,268
320,925,2025-09-13,Organic,Desktop,6,673
321,1807,2025-09-13,Paid,Tablet,5,791
322,730,2025-09-13,Social,Desktop,3,512
323,1419,2025-09-13,Organic,Mobile,7,481
324,434,2025-09-13,Organic,Mobile,11,293
325,1114,2025-09-13,Social,Tablet,11,819
326,75,2025-09-13,Paid,Desktop,8,363
327,1617,2025-09-13,Organic,Mobile,1,142
328,151,2025-09-13,Paid,Desktop,1,485
329,323,2025-09-13,Organic,Mobile,5,397
330,711,2025-09-13,Organic,Mobile,15,448
331,644,2025-09-13,Paid,Desktop,6,254
332,599,2025-09-13,Social,Desktop,1,815
333,892,2025-09-13,Organic,Mobile,9,150
334,1333,2025-09-13,Organic,Desktop,10,107
335,1724,2025-09-13,Social,Desktop,4,167
336,219,2025-09-13,Paid,Desktop,14,580
337,960,2025-09-13,Paid,Mobile,9,614
338,1403,2025-09-13,Organic,Mobile,9,518
339,474,2025-09-13,Social,Desktop,2,35
340,878,2025-09-13,Social,Mobile,14,35
341,492,2025-09-13,Organic,Mobile,10,215
342,922,2025-09-13,Paid,Tablet,11,74
343,313,2025-09-13,Social,Desktop,12,532
344,506,2025-09-13,Paid,Tablet,11,730
345,343,2025-09-13,Social,Desktop,15,742
346,1919,2025-09-13,Social,Desktop,11,220
347,1269,2025-09-13,Organic,Mobile,10,378
348,1960,2025-09-13,Organic,Mobile,4,385
349,541,2025-09-13,Social,Mobile,10,154
350,1138,2025-09-13,Organic,Tablet,13,806
351,573,2025-09-13,Organic,Desktop,9,54
352,88,2025-09-13,Paid,Tablet,4,775
353,1180,2025-09-13,Social,Desktop,13,645
354,263,2025-09-13,Organic,Tablet,15,313
355,1521,2025-09-13,Organic,Desktop,15,192
356,1338,2025-09-13,Organic,Mobile,3,866
357,1810,2025-09-13,Paid,Desktop,13,427
358,1023,2025-09-13,Organic,Mobile,10,562
359,1972,2025-09-13,Social,Mobile,8,329
360,548,2025-09-13,Organic,Desktop,7,60
361,738,2025-09-13,Organic,Tablet,10,522
362,1648,2025-09-13,Referral,Desktop,14,546
363,1757,2025-09-13,Organic,Mobile,6,865
364,1427,2025-09-13,Referral,Desktop,5,830
365,1017,2025-09-13,Social,Tablet,13,388
366,1211,2025-09-13,Paid,Mobile,13,651
367,342,2025-09-13,Paid,Desktop,14,840
368,763,2025-09-13,Organic,Desktop,3,724
369,635,2025-09-13,Social,Mobile,7,504
370,688,2025-09-13,Paid,Mobile,12,457
371,535,2025-09-13,Organic,Desktop,6,48
372,179,2025-09-13,Organic,Mobile,3,262
373,1521,2025-09-13,Social,Mobile,7,71
374,1791,2025-09-13,Paid,Mobile,12,610
375,938,2025-09-13,Paid,Mobile,5,839
376,347,2025-09-13,Organic,Mobile,13,30
377,623,2025-09-13,Paid,Tablet,3,860
378,1811,2025-09-13,Paid,Mobile,2,472
379,1610,2025-09-13,Organic,Desktop,2,82
380,1916,2025-09-13,Paid,Desktop,3,135
381,1133,2025-09-13,Organic,Tablet,5,303
382,1732,2025-09-13,Organic,Desktop,2,508
383,1,2025-09-13,Paid,Mobile,1,296
384,443,2025-09-13,Organic,Mobile,15,355
385,1000,2025-09-13,Organic,Tablet,11,249
386,1099,2025-09-13,Social,Desktop,10,799
387,967,2025-09-13,Referral,Desktop,1,504
388,1179,2025-09-13,Paid,Desktop,4,199
389,488,2025-09-13,Paid,Desktop,15,796
390,602,2025-09-13,Organic,Desktop,8,570
391,1648,2025-09-13,Organic,Desktop,6,753
392,113,2025-09-13,Social,Desktop,1,113
393,1424,2025-09-13,Paid,Desktop,10,837
394,440,2025-09-13,Organic,Desktop,11,342
395,1800,2025-09-13,Paid,Desktop,4,837
396,927,2025-09-13,Referral,Desktop,2,117
397,702,2025-09-13,Social,Mobile,7,703
398,44,2025-09-13,Referral,Desktop,2,549
399,1380,2025-09-13,Organic,Desktop,11,470
400,96,2025-09-13,Paid,Desktop,6,417
401,911,2025-09-13,Paid,Mobile,2,663
402,1729,2025-09-13,Organic,Desktop,8,395
403,554,2025-09-13,Referral,Desktop,7,563
404,427,2025-09-13,Social,Tablet,8,398
405,1211,2025-09-13,Referral,Mobile,7,243
406,1533,2025-09-13,Paid,Desktop,12,771
407,73,2025-09-13,Organic,Mobile,11,101
408,648,2025-09-13,Referral,Desktop,7,215
409,812,2025-09-13,Paid,Tablet,8,177
410,424,2025-09-13,Organic,Mobile,1,610
411,1614,2025-09-13,Organic,Mobile,14,519
412,1461,2025-09-13,Social,Desktop,7,308
413,742,2025-09-13,Organic,Desktop,11,157
414,888,2025-09-13,Organic,Tablet,8,741
415,1221,2025-09-13,Paid,Mobile,1,835
416,889,2025-09-13,Social,Desktop,9,644
417,94,2025-09-13,Paid,Tablet,14,808
418,574,2025-09-13,Organic,Desktop,5,195
419,1386,2025-09-13,Organic,Desktop,3,64
420,818,2025-09-13,Organic,Mobile,7,864
421,655,2025-09-13,Paid,Mobile,12,34
422,869,2025-09-13,Paid,Desktop,2,877
423,1125,2025-09-13,Organic,Desktop,9,690
424,917,2025-09-13,Paid,Desktop,10,457
425,1115,2025-09-13,Paid,Mobile,11,236
426,1239,2025-09-13,Social,Desktop,9,744
427,861,2025-09-13,Paid,Tablet,1,228
428,387,2025-09-13,Paid,Desktop,5,790
429,1672,2025-09-13,Social,Mobile,2,635
430,806,2025-09-13,Organic,Desktop,13,212
431,1864,2025-09-13,Organic,Mobile,8,728
432,1270,2025-09-13,Paid,Desktop,6,134
433,619,2025-09-13,Organic,Mobile,6,829
434,1093,2025-09-13,Social,Mobile,5,30
435,1401,2025-09-13,Organic,Mobile,10,615
436,853,2025-09-13,Social,Mobile,4,616
437,931,2025-09-13,Organic,Mobile,6,182
438,1460,2025-09-13,Referral,Desktop,7,340
439,1746,2025-09-13,Organic,Mobile,11,588
440,676,2025-09-13,Organic,Mobile,14,178
441,724,2025-09-13,Paid,Desktop,15,316
442,958,2025-09-13,Social,Tablet,15,590
443,1472,2025-09-13,Social,Tablet,14,888
444,781,2025-09-13,Organic,Desktop,13,574
445,1816,2025-09-13,Social,Desktop,7,387
446,1109,2025-09-13,Paid,Desktop,12,269
447,155,2025-09-13,Organic,Desktop,4,405
448,1249,2025-09-13,Paid,Tablet,12,433
449,874,2025-09-13,Paid,Mobile,7,189
450,46,2025-09-13,Organic,Desktop,15,90
451,609,2025-09-13,Paid,Desktop,10,161
452,1507,2025-09-13,Organic,Desktop,7,699
453,1323,2025-09-13,Social,Mobile,4,500
454,293,2025-09-13,Organic,Mobile,4,501
455,1738,2025-09-13,Paid,Tablet,3,245
456,1109,2025-09-13,Organic,Desktop,9,378
457,329,2025-09-13,Paid,Mobile,9,662
458,484,2025-09-13,Social,Tablet,8,737
459,1682,2025-09-13,Referral,Desktop,14,330
460,515,2025-09-13,Organic,Desktop,9,789
461,1592,2025-09-13,Paid,Mobile,3,776
462,290,2025-09-13,Paid,Tablet,10,428
463,255,2025-09-13,Organic,Desktop,13,423
464,818,2025-09-13,Paid,Desktop,8,668
465,957,2025-09-13,Social,Desktop,3,612
466,901,2025-09-13,Social,Desktop,12,358
467,251,2025-09-13,Social,Desktop,14,616
468,312,2025-09-13,Organic,Desktop,5,586
469,182,2025-09-13,Referral,Desktop,8,545
470,341,2025-09-13,Organic,Mobile,13,896
471,549,2025-09-13,Social,Desktop,4,345
472,1752,2025-09-13,Social,Desktop,12,481
473,125,2025-09-13,Organic,Mobile,15,43
474,633,2025-09-13,Paid,Desktop,9,377
475,956,2025-09-13,Organic,Mobile,14,328
476,31,2025-09-13,Paid,Mobile,8,110
477,375,2025-09-13,Organic,Tablet,6,768
478,1472,2025-09-13,Organic,Mobile,3,569
479,195,2025-09-13,Organic,Mobile,3,73
480,1236,2025-09-13,Organic,Mobile,3,689
481,96,2025-09-13,Paid,Desktop,4,858
482,704,2025-09-13,Paid,Mobile,4,678
483,338,2025-09-13,Social,Desktop,13,191
484,773,2025-09-13,Organic,Desktop,15,845
485,1964,2025-09-13,Organic,Tablet,6,563
486,1112,2025-09-13,Paid,Tablet,5,76
487,217,2025-09-13,Organic,Tablet,3,894
488,899,2025-09-13,Paid,Mobile,4,169
489,1651,2025-09-13,Social,Mobile,7,616
490,1629,2025-09-13,Organic,Mobile,8,266
491,142,2025-09-13,Paid,Mobile,14,191
492,1733,2025-09-13,Paid,Tablet,5,208
493,202,2025-09-13,Organic,Desktop,7,882
494,55,2025-09-13,Paid,Mobile,8,741
495,24,2025-09-13,Organic,Desktop,8,462
496,1339,2025-09-13,Paid,Mobile,11,532
497,61,2025-09-13,Paid,Mobile,10,188
498,1350,2025-09-13,Organic,Tablet,6,135
499,451,2025-09-13,Paid,Desktop,15,59
500,320,2025-09-13,Referral,Desktop,6,62
501,508,2025-09-13,Social,Desktop,13,828
502,913,2025-09-13,Organic,Mobile,10,534
503,1923,2025-09-13,Social,Mobile,6,315
504,177,2025-09-13,Paid,Desktop,15,465
505,36,2025-09-13,Paid,Mobile,13,735
506,1251,2025-09-13,Paid,Desktop,14,603
507,16,2025-09-13,Organic,Desktop,6,626
508,803,2025-09-13,Social,Desktop,13,383
509,932,2025-09-13,Social,Desktop,10,668
510,503,2025-09-13,Organic,Mobile,3,589
511,1482,2025-09-13,Organic,Desktop,10,849
512,1566,2025-09-13,Social,Desktop,1,190
513,453,2025-09-13,Organic,Desktop,15,309
514,1028,2025-09-13,Referral,Desktop,6,295
515,1138,2025-09-13,Paid,Mobile,4,766
516,678,2025-09-13,Organic,Desktop,1,574
517,202,2025-09-13,Paid,Desktop,10,503
518,824,2025-09-13,Organic,Mobile,4,671
519,743,2025-09-13,Paid,Mobile,6,210
520,1127,2025-09-13,Paid,Desktop,8,796
521,1228,2025-09-13,Social,Desktop,8,404
522,1040,2025-09-13,Organic,Mobile,15,385
523,1214,2025-09-13,Paid,Mobile,2,893
524,445,2025-09-13,Organic,Desktop,15,850
525,1560,2025-09-13,Social,Tablet,7,892
526,411,2025-09-13,Referral,Mobile,6,571
527,720,2025-09-13,Social,Mobile,9,191
528,651,2025-09-13,Social,Mobile,8,494
529,131,2025-09-13,Referral,Desktop,3,187
530,1912,2025-09-13,Organic,Mobile,11,266
531,479,2025-09-13,Social,Desktop,15,140
532,229,2025-09-13,Organic,Desktop,3,580
533,218,2025-09-13,Social,Desktop,2,629
534,648,2025-09-13,Paid,Desktop,11,362
535,1788,2025-09-13,Organic,Mobile,6,33
536,963,2025-09-13,Organic,Desktop,7,721
537,1474,2025-09-13,Organic,Desktop,5,94
538,1095,2025-09-13,Referral,Desktop,15,245
539,646,2025-09-13,Organic,Mobile,6,419
540,949,2025-09-13,Referral,Mobile,2,456
541,1024,2025-09-13,Paid,Mobile,4,319
542,1256,2025-09-13,Organic,Mobile,12,242
543,184,2025-09-13,Organic,Desktop,9,415
544,1016,2025-09-13,Social,Desktop,10,404
545,546,2025-09-13,Paid,Desktop,4,273
546,974,2025-09-13,Organic,Mobile,6,572
547,1242,2025-09-13,Paid,Mobile,7,242
548,1523,2025-09-13,Organic,Mobile,15,356
549,1076,2025-09-13,Organic,Tablet,11,415
550,358,2025-09-13,Social,Desktop,9,881
551,1248,2025-09-13,Paid,Desktop,4,765
552,729,2025-09-13,Paid,Desktop,14,429
553,340,2025-09-13,Referral,Mobile,14,781
554,1670,2025-09-13,Organic,Mobile,2,593
555,280,2025-09-13,Paid,Desktop,10,504
556,1986,2025-09-13,Social,Desktop,1,520
557,549,2025-09-13,Social,Mobile,6,305
558,1231,2025-09-13,Paid,Desktop,8,780
559,348,2025-09-13,Paid,Desktop,9,110
560,801,2025-09-13,Social,Mobile,11,803
561,480,2025-09-13,Organic,Desktop,6,770
562,150,2025-09-13,Referral,Tablet,13,835
563,1121,2025-09-13,Social,Tablet,14,262
564,408,2025-09-13,Organic,Desktop,13,533
565,1894,2025-09-13,Paid,Desktop,1,116
566,1308,2025-09-13,Organic,Desktop,8,709
567,1088,2025-09-13,Paid,Desktop,2,159
568,903,2025-09-13,Social,Desktop,3,699
569,1162,2025-09-13,Organic,Desktop,8,351
570,1858,2025-09-13,Organic,Mobile,3,666
571,1279,2025-09-13,Social,Desktop,9,862
572,1987,2025-09-13,Organic,Tablet,6,166
573,1116,2025-09-13,Paid,Mobile,9,668
574,1180,2025-09-13,Referral,Desktop,4,149
575,1098,2025-09-13,Organic,Mobile,9,825
