conversion_id,user_id,campaign_id,conversion_date,revenue,conversion_type
91,554,9,2025-09-21,174.07,Download
92,1281,13,2025-09-24,29.86,Purchase
93,1163,9,2025-09-18,59.96,Download
94,1893,11,2025-09-13,256.86,Purchase
95,1390,1,2025-09-14,462.86,Purchase
96,964,7,2025-10-01,24.31,Signup
97,80,14,2025-09-23,171.09,Signup
98,886,1,2025-09-22,266.56,Purchase
99,15,10,2025-09-23,455.25,Purchase
100,236,5,2025-09-23,230.55,Signup
101,1195,1,2025-09-16,482.38,Signup
102,1060,15,2025-09-17,288.34,Purchase
103,542,12,2025-09-14,463.17,Purchase
104,1022,14,2025-09-24,29.5,Purchase
105,1951,15,2025-09-21,183.98,Purchase
106,442,2,2025-09-13,274.2,Purchase
107,1657,2,2025-09-18,291.68,Signup
108,1998,13,2025-09-16,304.51,Purchase
109,93,5,2025-09-15,18.09,Signup
110,1500,7,2025-10-01,66.69,Signup
111,232,12,2025-09-14,477.04,Purchase
112,930,7,2025-09-25,191.91,Purchase
113,48,13,2025-09-20,26.47,Signup
114,414,11,2025-09-18,367.52,Purchase
115,1247,12,2025-09-17,80.55,Purchase
116,1145,8,2025-09-20,461.06,Purchase
117,1987,13,2025-09-22,239.19,Purchase
118,833,6,2025-09-22,404.84,Purchase
119,427,12,2025-09-23,251.9,Download
120,500,2,2025-10-01,400.14,Purchase
121,840,8,2025-09-19,186.38,Signup
122,842,9,2025-09-15,75.18,Purchase
123,211,5,2025-09-18,443.53,Purchase
124,1724,14,2025-09-21,22.49,Purchase
125,396,15,2025-09-19,186.46,Purchase
126,1731,15,2025-09-23,269.57,Signup
127,770,9,2025-09-27,173.68,Download
128,319,11,2025-10-04,226.52,Purchase
129,31,4,2025-09-19,61.98,Purchase
130,1080,5,2025-09-19,484.43,Purchase
131,1989,13,2025-09-15,293.78,Purchase
132,993,6,2025-10-01,477.76,Purchase
133,660,2,2025-09-22,478.88,Purchase
134,804,6,2025-09-19,440.17,Purchase
135,1611,2,2025-09-29,269.83,Purchase
136,1386,4,2025-09-13,221.06,Download
137,389,13,2025-09-25,310.97,Purchase
138,1644,4,2025-09-19,76.67,Purchase
139,11,8,2025-09-21,275.37,Signup
140,1895,8,2025-09-21,21.27,Purchase
141,1697,14,2025-09-23,304.82,Signup
142,1595,14,2025-09-22,300.14,Purchase
143,773,8,2025-09-14,32.68,Purchase
144,803,8,2025-09-17,348.1,Purchase
145,1170,9,2025-09-17,51.08,Purchase
146,1256,14,2025-09-23,366.67,Signup
147,427,6,2025-09-19,336.18,Signup
148,1445,3,2025-09-13,159.37,Download
149,133,3,2025-09-30,371.1,Purchase
150,357,6,2025-09-27,70.37,Signup
151,1064,15,2025-09-13,488.82,Signup
152,741,3,2025-10-01,209.42,Download
153,1810,5,2025-10-01,260.82,Download
154,1858,15,2025-09-27,456.8,Purchase
155,1567,2,2025-09-15,210.87,Signup
156,77,10,2025-10-11,458.3,Purchase
157,1393,4,2025-09-18,124.15,Download
158,999,7,2025-10-07,351.57,Download
159,1899,1,2025-09-24,266.74,Purchase
160,499,11,2025-09-19,273.98,Purchase
161,1649,15,2025-09-14,101.54,Purchase
162,1199,12,2025-09-22,178.88,Signup
163,1167,2,2025-10-03,62.18,Download
164,470,15,2025-09-23,396.4,Purchase
165,51,2,2025-09-17,214.13,Purchase
166,1295,14,2025-09-26,268.98,Purchase
167,1373,8,2025-09-20,362.08,Purchase
168,53,1,2025-09-21,223.38,Purchase
169,1143,14,2025-09-19,133.23,Purchase
170,608,14,2025-09-18,355.52,Purchase
171,606,4,2025-09-14,265.25,Purchase
172,1197,2,2025-09-25,411.77,Purchase
173,1164,3,2025-09-19,318.5,Signup
174,169,11,2025-10-03,380.87,Purchase
175,488,15,2025-09-27,112.73,Purchase
176,441,6,2025-09-27,154.3,Purchase
177,207,14,2025-09-16,475.26,Purchase
178,1033,14,2025-09-19,258.26,Purchase
179,1589,2,2025-09-26,143.21,Download
180,968,8,2025-09-20,329.08,Purchase
181,1493,7,2025-09-18,379.47,Purchase
182,1816,14,2025-09-25,257.88,Purchase
183,36,1,2025-09-24,447.26,Purchase
184,61,7,2025-10-02,239.33,Download
185,1555,8,2025-09-17,149.08,Purchase
186,1428,7,2025-10-10,49.36,Purchase
187,369,11,2025-10-04,185.25,Purchase
188,267,8,2025-09-20,63.02,Purchase
189,884,15,2025-09-23,134.32,Purchase
190,1456,13,2025-09-19,265.78,Signup
191,86,15,2025-09-23,493.68,Purchase
192,1890,15,2025-09-28,92.12,Signup
193,1961,12,2025-09-15,116.06,Download
194,631,10,2025-09-13,215.47,Purchase
195,800,10,2025-09-21,303.65,Purchase
196,1375,14,2025-09-21,447.06,Purchase
197,614,10,2025-09-28,66.15,Purchase
198,551,5,2025-09-16,314.06,Purchase
199,1989,5,2025-09-15,257.48,Purchase
200,199,10,2025-09-13,23.63,Purchase
201,2,2,2025-10-07,321.53,Purchase
202,280,12,2025-09-22,388.71,Purchase
203,703,6,2025-10-01,325.06,Purchase
204,792,13,2025-09-30,293.79,Purchase
205,796,9,2025-09-17,327.72,Purchase
206,1675,3,2025-09-18,19.55,Signup
207,495,5,2025-09-28,251.66,Purchase
208,1665,14,2025-09-16,10.69,Purchase
209,344,4,2025-09-17,237.79,Signup
210,145,3,2025-09-30,375.44,Purchase
211,617,4,2025-09-22,151.36,Purchase
212,1219,8,2025-09-15,96.63,Purchase
213,525,15,2025-09-20,422.4,Purchase
214,421,12,2025-09-23,422.59,Purchase
215,1017,4,2025-09-21,345.22,Signup
216,1777,10,2025-09-25,404.51,Signup
217,132,2,2025-10-08,106.35,Purchase
218,1518,15,2025-09-19,485.05,Purchase
219,1074,12,2025-09-21,307.67,Signup
220,1199,15,2025-09-21,440.02,Download
221,1090,14,2025-09-25,313.42,Download
222,1924,7,2025-10-06,29.61,Purchase
223,1474,12,2025-09-21,441.38,Purchase
224,1750,14,2025-09-16,299.04,Purchase
225,585,6,2025-09-23,178.98,Purchase
226,180,4,2025-09-18,371.5,Purchase
227,16,3,2025-09-19,265.99,Purchase
228,1728,15,2025-09-21,58.46,Purchase
229,779,7,2025-09-16,406.66,Purchase
230,984,2,2025-10-05,416.38,Purchase
231,776,13,2025-09-21,117.55,Purchase
232,67,11,2025-10-07,491.86,Purchase
233,453,2,2025-10-11,66.11,Purchase
234,1463,10,2025-09-18,109.3,Purchase
235,1046,4,2025-09-17,375.63,Signup
236,936,11,2025-09-14,317.91,Purchase
237,1191,4,2025-09-20,465.53,Purchase
238,535,10,2025-10-10,275.96,Purchase
239,1608,13,2025-09-20,21.52,Purchase
240,446,7,2025-09-28,450.81,Purchase
241,479,7,2025-09-18,69.23,Purchase
242,1250,15,2025-09-14,274.66,Signup
243,585,10,2025-09-17,379.27,Purchase
244,444,2,2025-10-10,231.06,Purchase
245,1184,3,2025-09-21,83.66,Purchase
246,1584,2,2025-09-24,350.31,Signup
247,1817,7,2025-10-10,35.22,Purchase
248,1015,8,2025-09-21,272.77,Purchase
249,1476,10,2025-09-19,258.87,Signup
250,1162,12,2025-09-14,399.39,Purchase
251,7,8,2025-09-15,162.3,Signup
252,472,15,2025-09-28,372.5,Purchase
253,1418,7,2025-10-02,193.51,Signup
254,1184,3,2025-09-20,85.5,Purchase
255,1435,2,2025-09-22,448.99,Purchase
256,450,15,2025-09-21,35.74,Signup
257,1284,7,2025-09-22,76.41,Purchase
258,466,10,2025-09-30,297.73,Signup
259,943,4,2025-09-21,273.82,Purchase
260,914,13,2025-10-03,462.64,Purchase
261,1950,14,2025-09-16,222.33,Download
262,265,3,2025-09-26,385.27,Purchase
263,589,11,2025-10-03,260.56,Purchase
264,732,7,2025-10-08,392.33,Signup
265,714,11,2025-09-26,22.87,Purchase
266,1520,15,2025-09-23,268.96,Purchase
267,1972,14,2025-09-24,354.02,Purchase
268,273,14,2025-09-24,315.91,Purchase
269,1289,14,2025-09-15,327.54,Purchase
270,25,6,2025-10-02,491.51,Purchase
271,147,9,2025-09-15,286.31,Purchase
272,423,8,2025-09-15,93.76,Purchase
273,586,6,2025-09-25,83.98,Signup
274,887,6,2025-09-26,443.25,Purchase
275,597,12,2025-09-17,291.27,Purchase
276,990,9,2025-09-23,343.71,Purchase
277,622,13,2025-09-25,380.79,Download
278,100,2,2025-09-22,15.48,Purchase
279,1106,11,2025-09-28,278.45,Purchase
280,467,2,2025-10-09,295.2,Purchase
281,1468,15,2025-09-18,38.33,Purchase
282,1853,4,2025-09-20,95.12,Signup
283,1512,10,2025-10-09,241.43,Signup
284,1790,12,2025-09-13,247.9,Purchase
285,286,13,2025-09-28,163.63,Purchase
286,958,8,2025-09-22,281.68,Download
287,253,14,2025-09-26,338.24,Purchase
288,759,5,2025-09-28,147.19,Signup
289,1482,14,2025-09-17,72.82,Purchase
290,1508,4,2025-09-15,469.76,Purchase
291,1573,3,2025-10-07,490.97,Purchase
292,1567,9,2025-09-19,345.4,Purchase
293,92,8,2025-09-17,471.78,Signup
294,791,1,2025-09-15,147.11,Purchase
295,1190,11,2025-09-15,410.74,Purchase
296,1429,14,2025-09-20,26.72,Purchase
297,38,7,2025-09-25,485.63,Purchase
298,200,11,2025-09-29,178.06,Purchase
299,111,11,2025-09-18,339.81,Purchase
300,23,3,2025-10-02,394.02,Signup
301,1416,5,2025-09-14,204.63,Purchase
302,1994,12,2025-09-18,399.65,Download
303,1452,15,2025-09-19,339.06,Signup
304,303,9,2025-09-25,70.38,Purchase
305,1161,1,2025-09-24,265.47,Purchase
306,861,14,2025-09-14,119.57,Signup
307,1391,8,2025-09-13,15.72,Purchase
308,1493,8,2025-09-21,391.17,Signup
309,203,8,2025-09-17,453.77,Purchase
310,1859,12,2025-09-15,177.07,Purchase
311,1156,14,2025-09-16,237.43,Download
312,938,12,2025-09-19,331.52,Purchase
313,1852,2,2025-10-09,130.14,Signup
314,138,3,2025-09-13,32.15,Purchase
315,1499,1,2025-09-23,353.75,Signup
316,206,6,2025-09-27,484.83,Purchase
317,1166,15,2025-09-21,246.41,Download
318,1846,12,2025-09-23,173.62,Purchase
319,1251,7,2025-09-14,126.72,Purchase
320,89,12,2025-09-19,463.16,Purchase
321,675,13,2025-09-20,343.87,Purchase
322,926,11,2025-09-23,235.23,Purchase
323,1570,5,2025-10-01,465.02,Purchase
324,1669,6,2025-09-19,83.16,Download
325,271,15,2025-09-22,83.09,Signup
326,626,5,2025-09-28,94.75,Purchase
327,348,8,2025-09-21,214.93,Purchase
328,595,9,2025-09-16,22.69,Purchase
329,626,6,2025-09-23,322.01,Purchase
330,1550,11,2025-09-29,189.17,Purchase
331,933,7,2025-09-26,20.41,Signup
332,755,13,2025-09-25,377.02,Purchase
333,1789,8,2025-09-19,458.52,Signup
334,1029,11,2025-10-06,98.02,Purchase
335,1790,7,2025-09-16,379.46,Signup
336,460,13,2025-09-21,267.05,Purchase
337,1907,5,2025-09-18,174.23,Purchase
338,349,11,2025-09-30,210.85,Signup
339,480,5,2025-09-17,79.63,Purchase
340,930,7,2025-10-01,308.01,Purchase
341,564,5,2025-09-22,70.2,Purchase
342,556,2,2025-10-03,318.5,Purchase
343,1791,1,2025-09-21,391.9,Purchase
344,899,6,2025-09-14,485.7,Purchase
345,1955,13,2025-10-02,171.85,Purchase
346,498,4,2025-09-21,497.09,Signup
347,1906,11,2025-10-04,478.23,Purchase
348,119,14,2025-09-22,258.32,Purchase
349,1503,10,2025-09-16,189.65,Purchase
350,1449,5,2025-10-01,199.95,Purchase
351,896,10,2025-09-29,249.99,Signup
352,1138,10,2025-10-02,94.03,Purchase
353,984,13,2025-09-17,359.81,Purchase
354,1989,3,2025-10-09,45.38,Signup
355,2000,11,2025-09-14,39.76,Purchase
356,1526,9,2025-09-26,57.07,Purchase
357,1008,14,2025-09-16,54.29,Download
358,1715,10,2025-09-25,143.88,Purchase
359,882,15,2025-09-29,218.44,Purchase
360,1328,6,2025-09-13,167.26,Purchase
361,1967,8,2025-09-14,83.33,Download
362,118,3,2025-09-20,386.45,Purchase
363,1439,2,2025-09-24,378.64,Purchase
364,1214,13,2025-09-18,381.54,Purchase
365,1353,6,2025-09-18,243.0,Purchase
366,1056,1,2025-09-18,339.7,Purchase
367,1562,5,2025-10-01,400.05,Purchase
368,1348,6,2025-09-15,404.46,Purchase
369,260,3,2025-10-07,336.34,Download
370,1966,15,2025-09-13,375.48,Signup
371,441,12,2025-09-15,11.01,Purchase
372,18,13,2025-09-15,338.38,Purchase
373,273,4,2025-09-15,306.75,Purchase
374,1381,1,2025-09-19,332.62,Signup
375,1994,11,2025-09-26,14.3,Purchase
376,79,1,2025-09-16,486.95,Purchase
377,1254,7,2025-10-06,467.63,Purchase
378,78,10,2025-10-01,275.93,Purchase
379,275,12,2025-09-16,31.95,Purchase
380,57,2,2025-09-28,214.68,Download
381,1029,12,2025-09-21,333.88,Signup
382,1977,14,2025-09-14,41.62,Purchase
383,494,5,2025-09-25,305.44,Purchase
384,1304,2,2025-09-21,374.98,Purchase
385,1169,12,2025-09-23,107.47,Download
386,325,8,2025-09-19,469.31,Purchase
387,1403,4,2025-09-20,162.73,Signup
388,506,9,2025-09-25,317.21,Purchase
389,991,8,2025-09-21,110.07,Purchase
390,623,1,2025-09-15,174.17,Signup
391,1194,8,2025-09-19,343.36,Purchase
392,1946,6,2025-09-30,451.64,Purchase
393,1051,2,2025-09-21,497.4,Purchase
394,590,15,2025-09-19,344.48,Purchase
395,989,4,2025-09-19,434.21,Signup
396,371,3,2025-09-21,245.97,Signup
397,596,2,2025-09-19,129.9,Purchase
398,1230,6,2025-09-21,126.94,Purchase
399,253,10,2025-09-14,382.79,Purchase
400,1872,14,2025-09-25,182.46,Purchase
401,1976,2,2025-09-14,203.29,Purchase
402,528,7,2025-09-23,128.71,Purchase
403,1429,4,2025-09-16,450.19,Purchase
404,397,10,2025-10-04,171.96,Signup
405,131,4,2025-09-16,56.34,Purchase
406,1601,2,2025-10-08,444.04,Signup
407,843,9,2025-09-22,206.96,Purchase
408,1135,2,2025-09-30,272.78,Download
409,1400,13,2025-09-18,201.01,Purchase
410,575,6,2025-10-02,477.86,Purchase
411,1961,4,2025-09-14,496.02,Signup
412,1737,11,2025-10-06,391.98,Signup
413,1637,8,2025-09-17,205.3,Purchase
414,534,8,2025-09-16,117.58,Signup
415,1848,4,2025-09-20,179.75,Purchase
416,1449,8,2025-09-19,305.37,Purchase
417,1173,11,2025-09-14,466.22,Purchase
418,1749,13,2025-09-21,240.59,Signup
419,1414,7,2025-09-26,196.14,Purchase
420,1475,10,2025-09-21,36.92,Purchase
421,242,9,2025-09-21,462.65,Purchase
422,1947,7,2025-10-06,123.96,Purchase
423,1030,6,2025-09-15,347.62,Purchase
424,1371,5,2025-09-28,171.02,Signup
425,1752,1,2025-09-19,334.43,Purchase
426,1656,15,2025-09-29,39.5,Purchase
427,1769,5,2025-09-21,467.0,Purchase
428,903,4,2025-09-17,169.58,Purchase
429,1306,12,2025-09-22,26.35,Purchase
430,234,2,2025-09-30,118.62,Purchase
431,289,15,2025-09-21,214.82,Purchase
432,1683,14,2025-09-17,121.18,Purchase
433,1393,11,2025-09-20,318.4,Purchase
434,818,9,2025-09-21,126.6,Purchase
435,252,4,2025-09-24,357.6,Signup
436,781,11,2025-10-01,119.57,Purchase
437,1465,10,2025-09-26,317.62,Signup
438,1920,4,2025-09-20,19.12,Purchase
439,1752,9,2025-09-23,228.49,Purchase
440,1567,15,2025-09-24,108.98,Purchase
441,1794,14,2025-09-25,237.48,Purchase
442,1727,15,2025-09-20,471.28,Purchase
443,1019,9,2025-09-21,215.55,Purchase
444,975,4,2025-09-19,181.1,Download
445,369,2,2025-09-26,374.1,Purchase
446,309,13,2025-09-28,118.67,Signup
447,179,5,2025-09-18,412.51,Purchase
448,1975,15,2025-09-22,166.2,Signup
449,814,14,2025-09-14,454.39,Purchase
450,1870,9,2025-09-15,153.15,Purchase
451,1888,13,2025-09-27,94.1,Signup
452,982,12,2025-09-17,276.05,Purchase
453,287,14,2025-09-23,81.45,Purchase
454,1652,8,2025-09-20,164.9,Purchase
455,1947,4,2025-09-18,11.69,Purchase
456,1810,2,2025-10-09,261.9,Purchase
457,1029,12,2025-09-17,443.79,Purchase
458,1376,1,2025-09-17,289.75,Purchase
459,1597,1,2025-09-18,85.02,Purchase
460,151,4,2025-09-21,259.91,Purchase
461,1268,2,2025-09-17,18.46,Purchase
462,675,10,2025-10-01,400.26,Purchase
463,228,11,2025-10-03,95.8,Signup
464,798,1,2025-09-22,51.59,Purchase
465,1989,2,2025-10-06,259.28,Purchase
466,265,15,2025-09-17,68.64,Purchase
467,1563,11,2025-10-04,443.5,Purchase
468,864,6,2025-09-15,255.32,Purchase
469,793,6,2025-10-02,70.01,Purchase
470,1974,13,2025-09-24,126.87,Signup
471,1206,15,2025-09-25,58.23,Purchase
472,995,14,2025-09-24,418.54,Purchase
473,1298,12,2025-09-13,476.51,Signup
474,1974,6,2025-09-16,199.26,Purchase
475,538,8,2025-09-19,479.32,Purchase
476,1343,9,2025-09-24,413.06,Purchase
477,609,13,2025-09-20,123.16,Purchase
478,349,7,2025-09-18,346.18,Purchase
479,1426,7,2025-09-14,344.06,Purchase
480,862,10,2025-09-24,489.59,Purchase
481,1112,14,2025-09-26,89.17,Signup
482,274,11,2025-09-23,228.53,Purchase
483,1555,8,2025-09-22,348.51,Purchase
484,1922,2,2025-10-01,410.96,Purchase
485,767,4,2025-09-21,89.71,Download
486,798,6,2025-09-30,400.13,Signup
487,1943,14,2025-09-19,233.04,Purchase
488,1491,4,2025-09-18,192.17,Signup
489,226,11,2025-09-13,440.59,Purchase
490,480,11,2025-10-07,234.16,Purchase
491,1854,6,2025-09-19,26.82,Purchase
492,1130,11,2025-09-16,246.21,Purchase
493,680,8,2025-09-19,272.69,Purchase
494,1150,7,2025-09-23,109.29,Purchase
495,1693,10,2025-10-03,277.61,Signup
496,1211,7,2025-09-30,173.18,Download
497,1124,11,2025-09-17,239.67,Purchase
498,121,9,2025-09-27,488.03,Purchase
499,772,6,2025-09-18,238.32,Purchase
500,1965,1,2025-09-18,394.41,Purchase
501,224,7,2025-10-10,142.59,Signup
502,1924,5,2025-09-21,401.05,Purchase
503,826,13,2025-09-28,202.75,Purchase
504,310,13,2025-09-30,306.41,Purchase
505,44,1,2025-09-21,499.92,Download
506,1750,10,2025-09-21,409.23,Download
507,707,15,2025-09-27,121.77,Purchase
508,1884,6,2025-09-24,233.21,Purchase
509,1830,11,2025-10-02,320.82,Purchase
510,1554,2,2025-09-17,207.23,Purchase
511,1680,9,2025-09-26,350.36,Purchase
512,1516,10,2025-09-25,290.01,Signup
513,1140,3,2025-09-22,352.31,Purchase
514,219,5,2025-09-26,42.11,Signup
515,1745,1,2025-09-22,377.19,Purchase
516,1529,3,2025-09-26,183.66,Purchase
517,1950,3,2025-10-01,168.11,Purchase
518,124,8,2025-09-15,329.9,Purchase
519,1397,2,2025-09-21,421.18,Purchase
520,1481,13,2025-09-21,268.54,Purchase
521,1078,11,2025-10-05,354.61,Purchase
522,1596,10,2025-09-20,466.63,Purchase
523,993,7,2025-09-23,25.24,Purchase
524,380,13,2025-10-01,413.95,Purchase
525,235,4,2025-09-15,257.67,Download
526,1076,12,2025-09-15,342.1,Purchase
527,98,4,2025-09-24,337.14,Purchase
528,702,9,2025-09-16,267.22,Signup
529,1607,7,2025-09-24,13.05,Purchase
530,692,15,2025-09-18,339.07,Purchase
531,250,8,2025-09-18,126.35,Purchase
532,1212,2,2025-09-27,474.35,Purchase
533,1795,3,2025-09-13,310.54,Download
534,1636,6,2025-09-15,312.58,Signup
535,806,8,2025-09-14,496.65,Purchase
536,1970,14,2025-09-16,407.58,Purchase
537,870,8,2025-09-22,200.59,Purchase
538,253,5,2025-09-14,132.27,Purchase
539,632,1,2025-09-19,71.0,Purchase
540,1858,5,2025-09-25,78.59,Purchase
541,102,13,2025-09-16,224.23,Purchase
542,1653,1,2025-09-21,282.38,Purchase
543,82,9,2025-09-19,395.52,Purchase
544,1613,5,2025-09-21,167.07,Download
545,949,11,2025-09-22,60.61,Purchase
546,1877,13,2025-09-30,211.16,Purchase
547,55,15,2025-09-28,209.38,Download
548,1630,4,2025-09-18,31.16,Signup
549,627,15,2025-09-24,296.41,Purchase
550,188,12,2025-09-20,288.04,Purchase
551,142,2,2025-09-14,458.69,Purchase
552,1050,9,2025-09-20,29.94,Purchase
553,785,10,2025-09-20,186.36,Purchase
554,1162,12,2025-09-20,97.28,Purchase
555,339,4,2025-09-13,429.05,Purchase
556,171,14,2025-09-24,220.49,Download
557,1281,10,2025-09-14,484.35,Purchase
558,1642,15,2025-09-17,109.08,Purchase
559,1325,15,2025-09-28,193.19,Purchase
560,1923,7,2025-09-24,69.32,Purchase
561,553,12,2025-09-14,210.28,Signup
562,259,6,2025-09-27,144.4,Download
563,411,8,2025-09-13,65.97,Purchase
564,1293,11,2025-09-19,30.1,Purchase
565,1093,14,2025-09-13,261.25,Signup
566,1603,14,2025-09-14,358.31,Signup
567,1991,5,2025-09-26,470.4,Purchase
568,551,3,2025-09-27,108.63,Purchase
569,1047,8,2025-09-17,386.74,Purchase
570,1740,6,2025-10-03,383.0,Download
571,1869,2,2025-10-11,51.62,Purchase
572,1767,12,2025-09-21,382.13,Purchase
573,1387,8,2025-09-22,223.64,Purchase
574,1441,2,2025-10-10,366.97,Purchase
575,487,3,2025-10-05,413.13,Purchase
576,731,15,2025-09-13,279.01,Signup
577,1237,9,2025-09-26,324.88,Signup
578,102,5,2025-09-18,337.62,Purchase
579,875,4,2025-09-24,71.62,Purchase
580,1060,13,2025-09-18,489.58,Download
581,1157,10,2025-09-21,313.95,Purchase
582,1493,7,2025-09-21,487.92,Purchase
583,1670,14,2025-09-19,202.84,Purchase
584,1979,4,2025-09-19,258.53,Signup
585,926,13,2025-09-16,321.4,Purchase
586,957,12,2025-09-18,444.76,Purchase
587,819,11,2025-09-18,58.4,Signup
588,96,5,2025-09-27,198.13,Purchase
589,1307,3,2025-09-22,163.64,Purchase
590,451,10,2025-10-05,423.13,Purchase
591,1287,11,2025-09-15,319.17,Purchase
592,173,7,2025-10-04,425.21,Purchase
593,483,7,2025-09-22,481.76,Purchase
594,1371,11,2025-09-27,50.07,Signup
595,229,11,2025-09-27,135.29,Signup
596,1285,2,2025-10-01,51.0,Purchase
597,150,7,2025-09-26,280.99,Purchase
598,429,10,2025-09-16,295.6,Purchase
599,116,5,2025-09-22,206.95,Purchase
600,1792,11,2025-10-03,118.57,Signup
601,145,14,2025-09-24,142.73,Purchase
602,1293,6,2025-09-16,409.49,Signup
603,1471,5,2025-10-01,445.02,Signup
604,236,11,2025-09-30,431.1,Download
605,1177,6,2025-09-29,319.7,Signup
606,530,13,2025-09-26,224.18,Purchase
607,1671,14,2025-09-16,132.28,Purchase
608,985,15,2025-09-21,331.36,Purchase
609,1577,4,2025-09-18,64.4,Purchase
610,1788,14,2025-09-17,445.78,Purchase
611,1641,6,2025-09-25,60.05,Purchase
612,1862,3,2025-10-06,76.8,Purchase
613,878,15,2025-09-17,359.82,Download
614,298,4,2025-09-13,250.4,Purchase
615,1283,1,2025-09-19,75.43,Purchase
616,854,4,2025-09-22,289.54,Download
617,799,3,2025-10-04,463.8,Purchase
618,1910,7,2025-09-17,111.32,Purchase
619,874,15,2025-09-17,187.62,Purchase
620,313,8,2025-09-20,21.33,Purchase
621,470,6,2025-09-16,298.27,Purchase
622,1335,2,2025-10-01,103.27,Purchase
623,531,14,2025-09-25,11.24,Purchase
624,1262,2,2025-09-13,310.48,Purchase
625,1123,2,2025-09-17,109.06,Purchase
626,803,6,2025-10-05,306.33,Purchase
627,1583,4,2025-09-21,430.86,Signup
628,292,11,2025-09-18,363.04,Purchase
629,951,7,2025-10-07,326.05,Purchase
